workload,policy,rep,metric,value,higher_is_better,normalized_vs_arms
gapbc,baseline_arms,1,average_time_seconds,6.09601,False,1.0018
gapbc,baseline_arms,2,average_time_seconds,6.11397,False,0.9988
gapbc,baseline_arms,3,average_time_seconds,6.11415,False,0.9988
gapbc,baseline_arms,5,average_time_seconds,6.10358,False,1.0005
gapbc,seed,1,average_time_seconds,9.90673,False,0.6164
gapbc,seed,2,average_time_seconds,9.95469,False,0.6135
gapbc,seed,3,average_time_seconds,9.80079,False,0.6231
gapbc,seed,4,average_time_seconds,9.87953,False,0.6181
gapbc,seed,5,average_time_seconds,9.92149,False,0.6155
gapbc,synthesized,1,average_time_seconds,6.2869,False,0.9714
gapbc,synthesized,2,average_time_seconds,6.24741,False,0.9775
gapbc,synthesized,3,average_time_seconds,6.28602,False,0.9715
gapbc,synthesized,4,average_time_seconds,6.28097,False,0.9723
gapbc,synthesized,5,average_time_seconds,6.28062,False,0.9723
gappr,baseline_arms,1,average_time_seconds,25.58277,False,0.9991
gappr,baseline_arms,2,average_time_seconds,25.52851,False,1.0013
gappr,baseline_arms,3,average_time_seconds,25.54635,False,1.0006
gappr,baseline_arms,4,average_time_seconds,25.59494,False,0.9987
gappr,baseline_arms,5,average_time_seconds,25.55038,False,1.0004
gappr,seed,1,average_time_seconds,26.45116,False,0.9663
gappr,seed,2,average_time_seconds,26.18099,False,0.9763
gappr,seed,3,average_time_seconds,27.34035,False,0.9349
gappr,seed,4,average_time_seconds,26.2304,False,0.9745
gappr,seed,5,average_time_seconds,26.18356,False,0.9762
gappr,synthesized,1,average_time_seconds,25.57315,False,0.9995
gappr,synthesized,2,average_time_seconds,25.67919,False,0.9954
gappr,synthesized,3,average_time_seconds,25.55068,False,1.0004
gappr,synthesized,4,average_time_seconds,25.56083,False,1.0
gappr,synthesized,5,average_time_seconds,25.58098,False,0.9992
gups,baseline_arms,1,gups,0.158055,True,1.0255
gups,baseline_arms,2,gups,0.151612,True,0.9837
gups,baseline_arms,3,gups,0.149432,True,0.9695
gups,baseline_arms,4,gups,0.152473,True,0.9893
gups,baseline_arms,5,gups,0.159074,True,1.0321
gups,seed,1,gups,0.102918,True,0.6677
gups,seed,2,gups,0.103163,True,0.6693
gups,seed,3,gups,0.108197,True,0.702
gups,seed,4,gups,0.102912,True,0.6677
gups,seed,5,gups,0.103046,True,0.6686
gups,synthesized,1,gups,0.154935,True,1.0052
gups,synthesized,2,gups,0.154567,True,1.0028
gups,synthesized,3,gups,0.158753,True,1.03
gups,synthesized,4,gups,0.157953,True,1.0248
gups,synthesized,5,gups,0.15604,True,1.0124
silo,baseline_arms,1,throughput,635.98,True,0.9948
silo,baseline_arms,2,throughput,636.213,True,0.9952
silo,baseline_arms,3,throughput,636.791,True,0.9961
silo,baseline_arms,4,throughput,644.089,True,1.0075
silo,baseline_arms,5,throughput,643.389,True,1.0064
silo,seed,1,throughput,559.478,True,0.8752
silo,seed,2,throughput,558.019,True,0.8729
silo,seed,3,throughput,558.398,True,0.8735
silo,seed,4,throughput,557.942,True,0.8727
silo,seed,5,throughput,558.758,True,0.874
silo,synthesized,1,throughput,656.753,True,1.0273
silo,synthesized,2,throughput,659.06,True,1.0309
silo,synthesized,3,throughput,659.828,True,1.0321
silo,synthesized,4,throughput,657.414,True,1.0283
silo,synthesized,5,throughput,657.464,True,1.0284
